RunID;RunDateTime;Moves HTM Count
173;2025-04-24 07:13:42;119
173;2025-04-24 07:13:42;115
173;2025-04-24 07:13:42;93
173;2025-04-24 07:13:42;101
174;2025-04-24 07:14:22;119
174;2025-04-24 07:14:22;92
174;2025-04-24 07:14:22;92
174;2025-04-24 07:14:22;92
174;2025-04-24 07:14:22;92
174;2025-04-24 07:14:22;119
174;2025-04-24 07:14:22;123
174;2025-04-24 07:14:22;127
174;2025-04-24 07:14:22;123
174;2025-04-24 07:14:22;127
175;2025-04-24 07:15:08;130
175;2025-04-24 07:15:08;120
175;2025-04-24 07:15:08;131
175;2025-04-24 07:15:08;114
175;2025-04-24 07:15:08;108
175;2025-04-24 07:15:08;108
175;2025-04-24 07:15:08;130
175;2025-04-24 07:15:08;119
175;2025-04-24 07:15:08;130
175;2025-04-24 07:15:08;114
176;2025-04-24 07:16:21;113
176;2025-04-24 07:16:21;98
176;2025-04-24 07:16:21;95
176;2025-04-24 07:16:21;122
176;2025-04-24 07:16:21;97
176;2025-04-24 07:16:21;93
176;2025-04-24 07:16:21;93
176;2025-04-24 07:16:21;93
176;2025-04-24 07:16:21;93
176;2025-04-24 07:16:21;97
177;2025-04-24 07:16:50;107
177;2025-04-24 07:16:50;108
177;2025-04-24 07:16:50;106
177;2025-04-24 07:16:50;107
177;2025-04-24 07:16:50;108
177;2025-04-24 07:16:50;106
177;2025-04-24 07:16:50;104
177;2025-04-24 07:16:50;104
177;2025-04-24 07:16:50;108
177;2025-04-24 07:16:50;107
178;2025-04-24 07:17:55;121
178;2025-04-24 07:17:55;120
178;2025-04-24 07:17:55;121
178;2025-04-24 07:17:55;115
178;2025-04-24 07:17:55;118
178;2025-04-24 07:17:55;118
178;2025-04-24 07:17:55;116
178;2025-04-24 07:17:55;116
178;2025-04-24 07:17:55;108
178;2025-04-24 07:17:55;104
179;2025-04-24 07:18:23;101
179;2025-04-24 07:18:23;109
179;2025-04-24 07:18:23;94
179;2025-04-24 07:18:23;102
179;2025-04-24 07:18:23;101
179;2025-04-24 07:18:23;109
179;2025-04-24 07:18:23;94
179;2025-04-24 07:18:23;102
179;2025-04-24 07:18:23;85
179;2025-04-24 07:18:23;87
180;2025-04-24 07:19:39;84
180;2025-04-24 07:19:39;79
180;2025-04-24 07:19:39;80
180;2025-04-24 07:19:39;96
180;2025-04-24 07:19:39;104
180;2025-04-24 07:19:39;81
180;2025-04-24 07:19:39;102
180;2025-04-24 07:19:39;99
180;2025-04-24 07:19:39;96
180;2025-04-24 07:19:39;74
181;2025-04-24 07:20:06;107
181;2025-04-24 07:20:06;103
181;2025-04-24 07:20:06;105
181;2025-04-24 07:20:06;109
181;2025-04-24 07:20:06;109
181;2025-04-24 07:20:06;102
181;2025-04-24 07:20:06;114
181;2025-04-24 07:20:06;106
181;2025-04-24 07:20:06;111
181;2025-04-24 07:20:06;97
182;2025-04-24 07:21:55;118
182;2025-04-24 07:21:55;102
182;2025-04-24 07:21:55;105
182;2025-04-24 07:21:55;105
182;2025-04-24 07:21:55;109
182;2025-04-24 07:21:55;111
182;2025-04-24 07:21:55;86
182;2025-04-24 07:21:55;105
182;2025-04-24 07:21:55;90
182;2025-04-24 07:21:55;105
183;2025-04-24 07:23:22;92
183;2025-04-24 07:23:22;99
183;2025-04-24 07:23:22;99
183;2025-04-24 07:23:22;106
183;2025-04-24 07:23:22;107
183;2025-04-24 07:23:22;96
183;2025-04-24 07:23:22;101
183;2025-04-24 07:23:22;101
183;2025-04-24 07:23:22;106
183;2025-04-24 07:23:22;94
184;2025-04-24 07:24:09;113
184;2025-04-24 07:24:09;120
184;2025-04-24 07:24:09;127
184;2025-04-24 07:24:09;120
184;2025-04-24 07:24:09;100
184;2025-04-24 07:24:09;96
184;2025-04-24 07:24:09;96
184;2025-04-24 07:24:09;112
184;2025-04-24 07:24:09;119
184;2025-04-24 07:24:09;97
185;2025-04-24 07:24:33;102
185;2025-04-24 07:24:33;101
185;2025-04-24 07:24:33;128
185;2025-04-24 07:24:33;124
185;2025-04-24 07:24:33;124
185;2025-04-24 07:24:33;125
185;2025-04-24 07:24:33;128
185;2025-04-24 07:24:33;124
185;2025-04-24 07:24:33;124
185;2025-04-24 07:24:33;124
186;2025-04-24 07:24:57;78
186;2025-04-24 07:24:57;78
186;2025-04-24 07:24:57;92
186;2025-04-24 07:24:57;76
186;2025-04-24 07:24:57;75
186;2025-04-24 07:24:57;94
186;2025-04-24 07:24:57;75
186;2025-04-24 07:24:57;75
186;2025-04-24 07:24:57;77
186;2025-04-24 07:24:57;77
187;2025-04-24 07:25:14;91
187;2025-04-24 07:25:14;94
187;2025-04-24 07:25:14;75
187;2025-04-24 07:25:14;77
187;2025-04-24 07:25:14;91
187;2025-04-24 07:25:14;95
187;2025-04-24 07:25:14;94
187;2025-04-24 07:25:14;92
187;2025-04-24 07:25:14;96
187;2025-04-24 07:25:14;95
188;2025-04-24 07:26:13;82
188;2025-04-24 07:26:13;82
188;2025-04-24 07:26:13;82
188;2025-04-24 07:26:13;82
188;2025-04-24 07:26:13;82
188;2025-04-24 07:26:13;82
188;2025-04-24 07:26:13;100
188;2025-04-24 07:26:13;101
188;2025-04-24 07:26:13;95
