Start Count;End Count;Improvement Count;Starting Positions;Move Sequence;Move Count;Value
3;4;1;E1-E2-E3;Bb Db Lb D Lb B;6;0.17
2;3;1;E2-E4;B Db R Bb;4;0.25
1;2;1;E3;Db Bb;2;0.50
2;3;1;K1-K3;Ub Lb U;3;0.33
3;4;1;E1-E3-E4;Fb Ub B U F;5;0.20
3;4;1;E1-E2-K1;Db Db F;3;0.33
3;4;1;E4-K1-K3;Bb D B B;4;0.25
3;4;1;E2-E3-K4;Lb;1;1.00
3;4;1;E2-E3-E4;Lb D L B D Bb;6;0.17
3;4;1;E1-E2-E4;F L Db Db Lb Fb;6;0.17
2;4;2;E1-E2;D F F;3;0.67
1;2;1;E3;Bb L;2;0.50
3;4;1;E2-E4-K1;Db Lb F L;4;0.25
3;4;1;E2-E3-E4;Lb U B Ub;4;0.25
1;2;1;K2;D D Lb;3;0.33
3;4;1;E3-K1-K2;Fb D Rb F;4;0.25
0;1;1;;Ub F;2;0.50
2;3;1;E4-K1;B;1;1.00
3;4;1;E2-K1-K4;L D Lb;3;0.33
2;3;1;E2-E4;Rb Bb Bb R;4;0.25
2;3;1;E3-K2;R F F Rb;4;0.25
3;5;2;E3-K1-K3;D D Bb Bb;4;0.50
1;2;1;E1;Rb Fb;2;0.50
0;1;1;;F Ub;2;0.50
3;5;2;E1-K2-K3;D Fb Fb;3;0.67
1;3;2;K3;Db L L;3;0.67
3;4;1;E3-K1-K4;Rb B R;3;0.33
2;3;1;E2-E4;F D Fb;3;0.33
3;4;1;E2-E3-E4;L D Lb Db Lb;5;0.20
1;3;2;E2;Lb F;2;1.00
3;4;1;E1-E2-E4;Rb L Bb Lb R;5;0.20
2;3;1;E2-E4;B Ub Lb U;4;0.25
3;4;1;E2-E3-E4;B Db Bb Lb Db L;6;0.17
1;2;1;E1;D R;2;0.50
2;3;1;E1-E3;Fb D Rb F;4;0.25
3;4;1;E1-E2-E3;R F Rb;3;0.33
3;4;1;E1-E4-K3;F Db Fb;3;0.33
1;2;1;E4;Rb Bb Rb;3;0.33
3;4;1;E1-E3-E4;D Bb Db B;4;0.25
3;4;1;E1-E2-E3;Db R Fb Fb Rb;5;0.20
2;3;1;E1-E3;Lb F Ub Fb L;5;0.20
3;4;1;E1-E3-E4;B D Bb Db Bb;5;0.20
2;3;1;E4-K3;Db F D Fb;4;0.25
3;4;1;E3-E4-K3;Db B B;3;0.33
3;4;1;E3-E4-K2;Lb R D L Rb;5;0.20
3;4;1;E1-E2-E3;Bb L B;3;0.33
2;3;1;E1-E4;D Rb Rb;3;0.33
3;4;1;E1-E3-K4;L Db Lb;3;0.33
2;3;1;E2-E4;Lb F F L;4;0.25
1;2;1;K1;D Rb Rb;3;0.33
1;2;1;E4;R B;2;0.50
1;2;1;E4;D D Rb;3;0.33
2;3;1;E2-E4;L Bb U Lb B;5;0.20
3;4;1;E1-E4-K3;D Lb F L;4;0.25
1;2;1;K1;R R Fb;3;0.33
0;1;1;;F F;2;0.50
1;3;2;E1;B Ub Bb;3;0.67
2;3;1;E1-E3;F F R Fb Fb;5;0.20
3;4;1;E2-E3-E4;Bb F L Fb B;5;0.20
3;4;1;E4-K1-K3;Bb;1;1.00
3;4;1;E2-E4-K1;F Ub Rb U;4;0.25
3;4;1;E1-E3-K3;L Bb D Lb;4;0.25
1;2;1;E4;Rb Bb Bb;3;0.33
2;3;1;E1-E4;Rb;1;1.00
3;4;1;E1-E2-E4;F U U Bb U U;6;0.17
3;4;1;E2-E3-K1;Fb D F;3;0.33
3;4;1;E2-K3-K4;L Db L;3;0.33
2;3;1;E3-K1;D B;2;0.50
3;4;1;E2-E3-K1;B D Bb;3;0.33
3;4;1;E1-E4-K3;L U Rb Ub Lb;5;0.20
1;2;1;E1;Db Fb;2;0.50
3;4;1;E1-K3-K4;Bb D L L B;5;0.20
3;4;1;E1-E3-E4;L U R R Ub Lb;6;0.17
1;2;1;E1;Db Fb Fb;3;0.33
1;2;1;E3;D L;2;0.50
3;4;1;E2-E3-K2;D D L L;4;0.25
3;4;1;E1-E2-E4;F R F Rb D Fb;6;0.17
0;2;2;;B U;2;1.00
3;4;1;E1-E2-E3;Db R Fb Rb;4;0.25
1;2;1;E2;F;1;1.00
2;3;1;E2-K1;F Db F;3;0.33
2;3;1;E2-E4;Rb Db Bb Bb R;5;0.20
3;4;1;E1-E3-E4;Db L Bb Bb Lb;5;0.20
3;4;1;E1-E2-E3;L Db Lb Fb Db F;6;0.17
3;4;1;E1-E2-E4;Rb U F Ub;4;0.25
2;3;1;E1-E4;Db Rb Rb;3;0.33
2;3;1;E4-K3;Bb Db B;3;0.33
3;4;1;E2-E4-K3;L R Ub Lb Rb;5;0.20
2;3;1;E4-K3;B Db B B;4;0.25
3;4;1;E3-K2-K4;Db Lb Lb;3;0.33
3;4;1;E1-E2-E4;Lb Ub R U L;5;0.20
3;4;1;E1-E2-E4;Rb B Rb Bb Rb Rb;6;0.17
3;4;1;E2-E3-K1;Ub B R Bb U;5;0.20
1;2;1;E2;L F;2;0.50
2;3;1;E1-E2;D Fb;2;0.50
3;4;1;E1-E2-E3;Fb Rb U F Ub F;6;0.17
2;3;1;E3-K2;F Lb Fb;3;0.33
0;1;1;;Rb Ub;2;0.50
2;3;1;E3-E4;B B;2;0.50
2;3;1;E1-E4;Lb Ub L F;4;0.25
2;3;1;E1-E2;F Db Fb Fb;4;0.25
2;3;1;E1-E3;Db R D Rb;4;0.25
3;4;1;E1-E3-E4;L B Lb;3;0.33
3;4;1;E1-E2-E4;Rb L B R Lb;5;0.20
3;4;1;E2-E3-K1;Rb Ub L U R;5;0.20
3;4;1;E1-E3-E4;Bb L Bb Lb B B;6;0.17
2;3;1;E1-E3;Fb R F;3;0.33
3;4;1;E1-E3-E4;Ub B U Rb;4;0.25
2;3;1;E1-E3;R F Db F Rb;5;0.20
3;4;1;E1-E2-K3;Fb D F F;4;0.25
3;4;1;E1-E2-K4;Bb Ub F U B;5;0.20
3;4;1;E3-E4-K4;B Db B;3;0.33
2;3;1;E2-E4;Rb Bb R;3;0.33
1;2;1;E2;Fb Fb Lb;3;0.33
3;4;1;E3-K1-K2;D Fb D F;4;0.25
2;3;1;E2-E4;F Ub Rb U;4;0.25
3;4;1;E1-E3-E4;Bb Lb Db L Db B;6;0.17
3;4;1;E1-E2-E3;Bb L B L D Lb;6;0.17
3;4;1;E3-E4-K2;Lb R Db Rb L;5;0.20
2;3;1;E2-E4;Lb Db Fb Fb L;5;0.20
2;3;1;E1-E3;L Ub L Fb U;5;0.20
0;1;1;;B Rb;2;0.50
1;2;1;E4;Ub B U;3;0.33
2;3;1;E1-E2;Db Db Fb Fb;4;0.25
3;4;1;E2-E3-K1;B Fb Db F Bb;5;0.20
3;4;1;E3-K1-K2;R Db Rb;3;0.33
3;4;1;E2-E3-E4;B L Bb Bb Lb Bb;6;0.17
2;3;1;E1-E3;F Lb U Fb L;5;0.20
1;2;1;E2;Db L;2;0.50
3;4;1;E1-E2-E4;Db B Rb Bb;4;0.25
3;4;1;E2-E3-E4;Lb Fb Db F Db L;6;0.17
3;4;1;E1-E2-E4;F Bb L L Fb B;6;0.17
4;5;1;E4-K2-K3-K4;R D Rb;3;0.33
5;6;1;E2-E4-K2-K3-K4;D Rb Db R;4;0.25
6;7;1;E2-E3-E4-K2-K3-K4;Lb D D L;4;0.25
7;8;1;E1-E2-E3-E4-K2-K3-K4;L D Lb D D D Bb Lb B;9;0.11
1;2;1;E1;Db Rb;2;0.50
4;5;1;E1-E2-E4-K4;Rb U Rb Ub B R;6;0.17
5;6;1;E1-E2-E4-K2-K4;F Db Fb;3;0.33
6;7;1;E1-E2-E3-E4-K2-K4;L Fb Db F Lb Db L;7;0.14
4;5;1;E1-E2-E3-E4;Lb Db B Db Bb L D L D;9;0.11
5;6;1;E1-E2-E3-E4-K1;Rb L Bb R Lb;5;0.20
6;7;1;E1-E2-E3-E4-K1-K2;R B R Bb Ub Bb U;7;0.14
7;8;1;E1-E2-E3-E4-K1-K2-K3;Rb Db Fb Db F D R F;8;0.12
4;5;1;E4-K2-K3-K4;R Db Rb;3;0.33
5;6;1;E2-E4-K2-K3-K4;Db B D Bb;4;0.25
6;7;1;E1-E2-E4-K2-K3-K4;Rb Bb Db B Db R;6;0.17
7;8;1;E1-E2-E3-E4-K2-K3-K4;Lb Fb Lb F L F L F Lb Fb;10;0.10
4;5;1;E1-E2-E3-E4;Bb Rb Bb R U R Ub;7;0.14
5;6;1;E1-E2-E3-E4-K2;L F Ub Lb Fb Ub L U;8;0.12
6;7;1;E1-E2-E3-E4-K2-K3;Lb R F Rb L;5;0.20
7;8;1;E1-E2-E3-E4-K2-K3-K4;L Ub D L D Lb D U D Lb;10;0.10
5;6;1;E1-E3-K1-K2-K4;R D Rb;3;0.33
6;7;1;E1-E2-E3-K1-K2-K4;Db L Db Lb;4;0.25
7;8;1;E1-E2-E3-E4-K1-K2-K4;B Fb R F Bb;5;0.20
4;5;1;E1-E3-K1-K2;Fb Rb F;3;0.33
5;6;1;E1-E3-K1-K2-K3;Rb U L Ub R;5;0.20
